mode	metabolite	slope	sd_intercept	p_uncorrected	p_fdr	MW	m/z	RT	name
pos_plasma	6548	31.99606452	1.61E-06	0	0	615.45354	616.46082	9.447	unannotated
pos_plasma	7092	103.8261739	2.85E-06	0	0	863.39781	864.40509	4.589	unannotated
pos_plasma	6564	25.875	3.66E-06	0	0	623.37712	624.3844	11.312	unannotated
neg_feces	7318	12.86475878	4.29E-06	0	0	522.24495	521.23767	5.934	unannotated
neg_feces	3349	63.99284217	4.54E-06	0	0	324.08687	323.07959	4.68	unannotated
neg_feces	7532	-32.2210268	4.71E-06	0	0	535.22996	534.22296	7.325	unannotated
neg_plasma	4375	21.34453673	4.79E-06	0	0	423.85376	422.8457	14.551	unannotated
neg_feces	4678	31.99375366	4.80E-06	0	0	380.18196	379.17468	5.394	unannotated
pos_plasma	4415	-31.90886431	6.48E-06	0	0	254.10495	255.11223	6.786	unannotated
pos_plasma	6559	-63.80902547	6.54E-06	0	0	621.3983	622.40576	10.939	unannotated
neg_feces	2310	-130.6875	6.74E-06	0	0	276.13167	275.12439	0.863	Saccharopine
neg_feces	1268	2.586826798	7.63E-06	4.73E-66	7.13E-65	229.10528	228.09787	0.899	unannotated
pos_plasma	6618	31.96664012	8.40E-06	0	0	644.32189	645.32916	4.043	unannotated
neg_feces	491	-35.13762475	8.56E-06	0	0	166.00393	164.99666	4.762	unannotated
neg_plasma	952	-10.45507813	8.84E-06	0	0	182.01206	181.00482	3.229	unannotated
pos_plasma	28	-9.5	9.13E-06	0	0	72.99929	74.00657	0.889	unannotated
neg_plasma	5818	593.1391354	9.73E-06	0	0	617.29747	616.2901	9.45	unannotated
pos_feces	9343	23.76041667	1.04E-05	0	0	520.26494	521.27222	5.368	unannotated
pos_feces	5707	8.375	1.07E-05	2.09E-125	3.49E-124	260.15245	261.15967	4.667	Fenspiride
neg_feces	4573	-95.86888446	1.21E-05	0	0	374.24068	373.2334	3.789	unannotated
neg_feces	8056	-19.76300832	1.34E-05	0	0	584.35249	583.34521	4.541	unannotated
neg_feces	6737	8.75	1.34E-05	0	0	486.17231	485.16498	5.073	unannotated
pos_feces	6233	-21.33970968	1.37E-05	0	0	288.14717	289.15445	7.972	unannotated
neg_feces	1470	-85.14503154	1.41E-05	0	0	242.07918	241.0719	5.274	7,8-dimethylalloxazine (lumichrome)
neg_feces	1202	21.34308796	1.63E-05	0	0	226.08289	225.07556	4.594	unannotated
pos_feces	4674	21.3392136	1.74E-05	0	0	215.09426	216.10155	4.153	N-Acetyl vitamin K5
pos_plasma	57	0.553125	1.79E-05	1.90E-13	2.55E-12	76.0314	77.03893	3.233	unannotated
neg_plasma	1470	15.56301113	1.82E-05	6.34E-287	8.89E-286	216.03303	215.02576	4.176	unannotated
neg_feces	5334	-18.65385146	1.85E-05	0	0	408.17665	407.16937	5.311	unannotated
pos_plasma	3141	7.15625	1.86E-05	0	0	180.11477	181.1219	7.665	unannotated
neg_feces	7875	53.84837754	1.92E-05	0	0	566.03771	565.03027	1.184	unannotated
neg_feces	4682	-31.86223892	1.93E-05	0	0	380.18278	379.17551	5.103	unannotated
neg_feces	7915	-35.671875	1.94E-05	0	0	568.32319	567.31592	6.784	unannotated
pos_feces	233	1.698929123	2.04E-05	6.01E-17	8.82E-16	85.05341	86.06073	1.285	unannotated
neg_feces	8985	-21.15634276	2.12E-05	0	0	838.55336	837.54608	7.978	unannotated
pos_feces	1929	-16.078125	2.14E-05	0	0	140.11987	141.12685	11.439	unannotated
pos_feces	1210	-2.154740155	2.26E-05	1.78E-06	2.53E-05	123.06818	124.07545	0.923	unannotated
neg_feces	7069	-3.375	2.30E-05	7.83E-44	1.16E-42	505.20683	504.19955	2.425	unannotated
pos_plasma	2190	-334.5571108	2.70E-05	0	0	148.03705	149.04434	4.211	unannotated
neg_plasma	174	-42.63180637	2.75E-05	0	0	114.03	113.02274	0.795	unannotated
neg_plasma	1211	-66.5	2.91E-05	0	0	199.03871	198.03145	5.024	unannotated
pos_feces	1130	8.408854167	2.99E-05	1.97E-248	3.79E-247	121.05281	122.0602	1.27	unannotated
neg_plasma	6376	-33.47174942	3.05E-05	0	0	1308.54292	653.2641	4.562	unannotated
pos_plasma	4484	52.625	3.06E-05	0	0	257.27146	258.27878	6.852	unannotated
neg_plasma	677	30.39739766	3.31E-05	0	0	163.84478	162.83749	0.813	unannotated
neg_plasma	1490	-32.1196185	3.53E-05	0	0	216.0345	215.02722	8.989	unannotated
neg_plasma	4151	-3.56514328	3.64E-05	0	0	395.75286	394.74561	0.794	unannotated
neg_feces	4253	-67.38484495	3.69E-05	0	0	360.14091	359.13364	4.795	unannotated
neg_plasma	3734	-16.15625	3.71E-05	0	0	352.22379	351.21664	6.501	Prostaglandin E2
neg_feces	3586	9.527099463	3.76E-05	4.85E-227	7.98E-226	334.02843	333.02115	3.887	unannotated
pos_plasma	2144	-21.22129542	3.86E-05	0	0	148.00582	149.013	11.871	unannotated
pos_feces	2346	-10.87431681	3.91E-05	4.73E-246	9.03E-245	150.1041	151.11137	10.707	unannotated
neg_plasma	110	7.937073373	4.00E-05	4.79E-284	6.65E-283	99.96991	98.96265	1.008	unannotated
neg_plasma	3348	-29.875	4.07E-05	0	0	326.05446	325.04721	8.017	unannotated
pos_feces	8331	-86.96886	4.17E-05	0	0	415.3073	416.31458	7.915	unannotated
neg_plasma	5171	32.20602903	4.20E-05	0	0	510.33604	509.32877	13.248	unannotated
pos_plasma	5215	-11.90625	4.36E-05	0	0	328.20354	329.211	5.588	unannotated
pos_plasma	2106	-14.33500045	4.36E-05	8.04E-172	1.16E-170	148.00499	149.01227	2.08	unannotated
neg_plasma	4000	21.21356093	4.49E-05	0	0	379.92436	378.91708	0.701	unannotated
pos_feces	4693	-47.73260006	4.58E-05	0	0	216.11063	217.11745	2.85	unannotated
neg_feces	5845	52.76942677	4.71E-05	0	0	440.29855	439.29126	4.588	unannotated
pos_feces	1218	25.82501662	5.07E-05	0	0	123.06875	124.07603	4.175	unannotated
neg_feces	7119	95.97990665	5.30E-05	0	0	509.19978	508.1925	4.427	unannotated
pos_plasma	3109	-12.10501452	5.39E-05	2.22E-55	3.00E-54	179.11717	180.12445	9.06	unannotated
neg_plasma	1084	32.40385683	5.86E-05	0	0	190.8764	189.86913	1.138	unannotated
pos_feces	7952	31.5854074	5.89E-05	0	0	390.08909	391.09747	0.973	unannotated
pos_feces	6580	-64.18604782	7.06E-05	0	0	304.23979	305.24707	12.729	Arachidonic acid
pos_feces	8395	32.07666081	7.11E-05	0	0	422.13889	423.14603	0.908	unannotated
pos_feces	9692	96.30715248	7.56E-05	0	0	603.3463	604.35358	4.421	unannotated
pos_feces	9069	7.90625	8.93E-05	4.35E-136	7.32E-135	485.25224	486.25952	6.357	unannotated
pos_feces	410	-32.37545001	8.98E-05	0	0	94.07868	95.08596	8.715	unannotated
neg_feces	6474	11.27264189	9.20E-05	1.90E-45	2.84E-44	472.24722	471.24008	8.238	unannotated
neg_plasma	1840	7.677162282	0.000101546	5.10E-16	6.18E-15	232.11134	231.10406	5.341	unannotated
pos_feces	6630	41.85974415	0.000101685	0	0	308.07888	309.08606	6.257	Flazin
neg_feces	5865	-21.27264753	0.000103711	0	0	442.09141	441.08414	5.176	unannotated
neg_plasma	5432	26.77342211	0.000124789	0	0	552.25548	551.24854	7.021	unannotated
pos_feces	9221	-55.6234027	0.000133175	0	0	502.32958	503.33685	6.012	unannotated
neg_feces	2846	-63.93918604	0.000145952	0	0	300.26484	299.25754	11.852	unannotated
pos_feces	1268	37.65190471	0.0002065	0	0	124.10008	125.10737	1.351	unannotated
neg_feces	7379	-10.66666667	0.000213894	0	0	527.25313	526.2453	6.068	unannotated
neg_plasma	4704	-7.974609375	0.000222946	0	0	458.14228	457.13507	6.753	unannotated
pos_plasma	6259	-98.60445992	0.000245277	0	0	527.18193	528.18921	6.131	unannotated
neg_feces	2323	-12.21428571	0.000290863	0	0	277.10563	276.09839	3.474	unannotated
neg_feces	8840	50.80921986	0.000331604	0	0	754.35566	753.34833	6.783	unannotated
pos_feces	8269	-32.16810402	0.000447836	0	0	412.36601	413.37329	9.781	unannotated
neg_feces	3920	8.678571429	0.000605979	3.44E-128	5.37E-127	346.3058	345.29852	1.553	unannotated
pos_plasma	5832	9.695490057	0.003702867	0	0	433.14979	434.15704	4.561	unannotated
pos_plasma	6555	12.00195313	0.007209349	0	0	618.26354	619.27081	4.027	unannotated
neg_plasma	4381	-183.984375	0.008370435	0	0	424.17558	423.1683	8.088	unannotated
pos_plasma	3469	21.34059227	0.008682516	0	0	193.6112	194.61862	4.139	4-Hydroxytamoxifen
pos_feces	9132	63.98376934	0.009036624	0	0	490.22035	491.22763	4.878	unannotated
neg_feces	7311	-21.3650314	0.013205571	0	0	522.209	521.20172	6.503	unannotated
pos_plasma	6908	19.203125	0.019836159	0	0	779.52159	780.52887	6.498	unannotated
neg_feces	8727	129.5625	0.025064637	0	0	714.36197	356.17371	6.604	unannotated
neg_feces	3722	-32.0625	0.027150896	0	0	342.09367	341.0864	4.382	unannotated
pos_plasma	6510	40.0625	0.028559617	0	0	603.41753	604.4248	6.381	unannotated
neg_feces	7656	-23.26136364	0.030661317	0	0	545.26043	544.25311	5.578	unannotated
pos_feces	8973	-39.03125	0.031242661	0	0	474.32058	475.32794	5.327	unannotated
neg_feces	3716	-63.87631808	0.033813542	0	0	341.23033	340.22305	3.913	unannotated
pos_plasma	5672	-40.66336634	0.035963793	0	0	405.21118	406.21817	7.601	unannotated
pos_plasma	2476	21.19724019	0.036551346	0	0	155.987	156.99403	5.352	unannotated
pos_plasma	3566	-15.07894737	0.037670068	0	0	199.19334	200.20084	5.407	unannotated
pos_plasma	2719	0.330078125	0.039142695	9.05E-07	1.21E-05	165.11517	166.12259	7.403	unannotated
neg_feces	617	-21.31745947	0.040366752	0	0	176.04581	175.03853	4.287	unannotated
neg_feces	7060	-256	0.041495998	0	0	504.30655	503.29938	7.052	unannotated
neg_feces	5686	23.24431818	0.044477952	0	0	429.20994	428.20297	4.915	unannotated
neg_plasma	5211	24	0.045452178	0	0	517.17147	516.16388	5.339	unannotated
neg_plasma	2947	-13.8442029	0.04552574	0	0	301.0449	300.03763	0.883	unannotated
neg_feces	8578	31.84375	0.045974427	0	0	672.28059	671.27332	7.078	unannotated
